Time (seconds),light,sound,temp,movement
120.11,,33,,
120.22,,,22,
120.32,,,,1072
120.44,0,,,
120.60,,7,,
120.70,,,22,
120.80,,,,1068
120.92,0,,,
121.08,,63,,
121.18,,,22,
121.28,,,,1044
121.41,0,,,
121.56,,56,,
121.67,,,22,
121.77,,,,1052
121.89,0,,,
122.05,,11,,
122.15,,,22,
122.25,,,,1039
122.38,0,,,
122.53,,11,,
122.64,,,22,
122.74,,,,1022
122.86,0,,,
123.02,,37,,
123.12,,,22,
123.22,,,,1027
123.34,0,,,
123.50,,41,,
123.60,,,22,
123.70,,,,1028
123.83,0,,,
123.98,,33,,
124.09,,,22,
124.19,,,,1054
124.31,0,,,
124.47,,26,,
124.57,,,22,
124.67,,,,1049
124.79,0,,,
124.95,,30,,
125.05,,,22,
125.15,,,,1078
125.27,0,,,
125.44,,48,,
125.54,,,22,
125.64,,,,1048
125.76,0,,,
125.92,,56,,
126.02,,,22,
126.12,,,,1053
126.24,0,,,
126.40,,90,,
126.50,,,22,
126.60,,,,1040
126.72,0,,,
126.89,,33,,
126.99,,,22,
127.09,,,,1060
127.21,0,,,
127.37,,75,,
127.47,,,22,
127.57,,,,1066
127.69,0,,,
127.85,,78,,
127.96,,,22,
128.06,,,,729
128.18,0,,,
128.34,,82,,
128.44,,,22,
128.54,,,,974
128.66,0,,,
128.82,,60,,
128.92,,,22,
129.02,,,,990
129.14,0,,,
129.31,,52,,
129.41,,,22,
129.51,,,,1018
129.63,0,,,
129.79,,63,,
129.89,,,22,
129.99,,,,1054
130.11,0,,,
130.27,,67,,
130.38,,,22,
130.48,,,,1060
130.60,0,,,
130.76,,41,,
130.86,,,22,
130.96,,,,1047
131.08,0,,,
131.24,,56,,
131.34,,,22,
131.44,,,,1051
131.56,0,,,
131.73,,56,,
131.83,,,22,
131.93,,,,1024
132.05,0,,,
132.21,,75,,
132.31,,,22,
132.41,,,,994
132.53,0,,,
132.69,,101,,
132.80,,,22,
132.90,,,,820
133.02,0,,,
133.18,,75,,
133.28,,,22,
133.38,,,,1062
133.50,0,,,
133.66,,97,,
133.76,,,22,
133.86,,,,1035
133.99,0,,,
134.14,,101,,
134.25,,,22,
134.35,,,,1022
134.47,0,,,
134.63,,67,,
134.73,,,22,
134.83,,,,1041
134.95,0,,,
135.11,,101,,
135.22,,,22,
135.32,,,,1056
135.44,0,,,
135.60,,60,,
135.70,,,22,
135.80,,,,1049
135.92,0,,,
136.08,,78,,
136.18,,,22,
136.28,,,,1040
136.41,0,,,
136.56,,52,,
136.67,,,22,
136.77,,,,1060
136.89,0,,,
137.05,,52,,
137.15,,,22,
137.25,,,,1061
137.37,0,,,
137.53,,67,,
137.63,,,22,
137.73,,,,1069
137.86,0,,,
138.02,,78,,
138.12,,,22,
138.22,,,,1055
138.34,0,,,
138.50,,56,,
138.60,,,22,
138.70,,,,1067
138.82,0,,,
138.98,,93,,
139.08,,,22,
139.18,,,,1064
139.30,0,,,
139.47,,63,,
139.57,,,22,
139.67,,,,1061
139.79,0,,,
139.95,,71,,
140.05,,,22,
140.15,,,,1062
140.27,0,,,
140.43,,86,,
140.54,,,22,
140.64,,,,1058
140.76,0,,,
140.92,,93,,
141.02,,,22,
141.12,,,,1052
141.24,0,,,
141.40,,82,,
141.50,,,22,
141.60,,,,1021
141.73,0,,,
141.89,,75,,
141.99,,,22,
142.09,,,,1058
142.21,0,,,
142.37,,45,,
142.47,,,22,
142.57,,,,1035
142.69,0,,,
142.85,,105,,
142.96,,,22,
143.06,,,,945
143.18,0,,,
143.34,,108,,
143.44,,,22,
143.54,,,,978
143.66,0,,,
143.82,,123,,
143.92,,,22,
144.02,,,,1091
144.15,0,,,
144.31,,86,,
144.41,,,22,
144.51,,,,1074
144.63,0,,,
144.79,,131,,
144.89,,,22,
144.99,,,,1005
145.12,0,,,
145.27,,75,,
145.38,,,22,
145.48,,,,1047
145.60,0,,,
145.76,,112,,
145.86,,,22,
145.96,,,,1003
146.08,0,,,
146.24,,86,,
146.34,,,22,
146.44,,,,1075
146.57,0,,,
146.72,,105,,
146.83,,,22,
146.93,,,,1091
147.05,0,,,
147.21,,71,,
147.31,,,22,
147.41,,,,1058
147.53,0,,,
147.69,,48,,
